Rowkey,Sample,Material,Thick,Exposure,TotCycle,S1Cycle,S1T,S1TRate,S1H,S1HRate,S1I,S1IRate,S2T,S2TRate,S2H,S2HRate,S2I,S2IRate,Time,Step,Irrad,Pdose,L,a,b,YI,Haze,dev
sa19601.00-step0,sa19601.00,HydStab,0.0125,Baseline,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,94.82,0,0.79,1.5,3.8,0.258569862681567
sa19601.01-step0,sa19601.01,HydStab,0.0125,DampHeat,1440,1440,85,NA,85,NA,0,0,NA,NA,NA,NA,0,0,0,0,0,0,95.1,0,0.75,1.42,0.8,0.346329487094712
sa19601.02-step0,sa19601.02,HydStab,0.0125,DampHeat,1440,1440,85,NA,85,NA,0,0,NA,NA,NA,NA,0,0,0,0,0,0,95.1,0,0.73,1.39,1,0.382539346249642
sa19601.03-step0,sa19601.03,HydStab,0.0125,DampHeat,1440,1440,85,NA,85,NA,0,0,NA,NA,NA,NA,0,0,0,0,0,0,95.12,0,0.73,1.38,1.4,0.395009299301285
sa19601.04-step0,sa19601.04,HydStab,0.0125,DampHeat,1440,1440,85,NA,85,NA,0,0,NA,NA,NA,NA,0,0,0,0,0,0,95.09,0,0.74,1.4,0.9,0.370269393197999
sa19601.05-step0,sa19601.05,HydStab,0.0125,DampHeat,1440,1440,85,NA,85,NA,0,0,NA,NA,NA,NA,0,0,0,0,0,0,95.1,0.01,0.75,1.44,0.9,0.323189580991426
sa19601.06-step0,sa19601.06,HydStab,0.0125,DampHeat,1440,1440,85,NA,85,NA,0,0,NA,NA,NA,NA,0,0,0,0,0,0,95.08,0.01,0.74,1.42,1.2,0.346329487094712
sa19601.07-step0,sa19601.07,HydStab,0.0125,DampHeat,1440,1440,85,NA,85,NA,0,0,NA,NA,NA,NA,0,0,0,0,0,0,95.07,0.01,0.76,1.44,1.3,0.323189580991426
sa19601.08-step0,sa19601.08,HydStab,0.0125,FreezeThaw,1375,1265,70,1.692308,85,7.083333,0,0,-40,1.375,0,2.361111,0,0,0,0,0,0,95.02,0.02,0.74,1.42,2.4,0.346329487094712
sa19601.09-step0,sa19601.09,HydStab,0.0125,FreezeThaw,1375,1265,70,1.692308,85,7.083333,0,0,-40,1.375,0,2.361111,0,0,0,0,0,0,95.1,0,0.74,1.4,1.8,0.370269393197999
sa19601.10-step0,sa19601.10,HydStab,0.0125,FreezeThaw,1375,1265,70,1.692308,85,7.083333,0,0,-40,1.375,0,2.361111,0,0,0,0,0,0,95.04,0,0.76,1.43,1,0.334659534043069
sa19601.11-step0,sa19601.11,HydStab,0.0125,FreezeThaw,1375,1265,70,1.692308,85,7.083333,0,0,-40,1.375,0,2.361111,0,0,0,0,0,0,95.03,0,0.76,1.44,0.9,0.323189580991426
sa19601.12-step0,sa19601.12,HydStab,0.0125,FreezeThaw,1375,1265,70,1.692308,85,7.083333,0,0,-40,1.375,0,2.361111,0,0,0,0,0,0,95.05,0,0.76,1.44,0.9,0.323189580991426
sa19601.13-step0,sa19601.13,HydStab,0.0125,FreezeThaw,1375,1265,70,1.692308,85,7.083333,0,0,-40,1.375,0,2.361111,0,0,0,0,0,0,95.06,-0.01,0.77,1.45,1.2,0.311919627939783
sa19601.14-step0,sa19601.14,HydStab,0.0125,FreezeThaw,1375,1265,70,1.692308,85,7.083333,0,0,-40,1.375,0,2.361111,0,0,0,0,0,0,95.07,0,0.76,1.45,1.8,0.311919627939783
sa19601.15-step0,sa19601.15,HydStab,0.0125,HotQUV,1440,1440,70,NA,20,NA,1.55,NA,NA,NA,NA,NA,NA,NA,0,0,1.55,0,95.09,0.01,0.75,1.43,1,0.334659534043069
sa19601.16-step0,sa19601.16,HydStab,0.0125,HotQUV,1440,1440,70,NA,20,NA,1.55,NA,NA,NA,NA,NA,NA,NA,0,0,1.55,0,95.05,0,0.77,1.45,0.9,0.311919627939783
sa19601.17-step0,sa19601.17,HydStab,0.0125,HotQUV,1440,1440,70,NA,20,NA,1.55,NA,NA,NA,NA,NA,NA,NA,0,0,1.55,0,95.08,0.01,0.75,1.42,0.9,0.346329487094712
sa19601.18-step0,sa19601.18,HydStab,0.0125,HotQUV,1440,1440,70,NA,20,NA,1.55,NA,NA,NA,NA,NA,NA,NA,0,0,1.55,0,95.08,0.01,0.74,1.41,1.8,0.358199440146356
sa19601.19-step0,sa19601.19,HydStab,0.0125,HotQUV,1440,1440,70,NA,20,NA,1.55,NA,NA,NA,NA,NA,NA,NA,0,0,1.55,0,95.04,0,0.75,1.42,1.7,0.346329487094712
sa19601.20-step0,sa19601.20,HydStab,0.0125,HotQUV,1440,1440,70,NA,20,NA,1.55,NA,NA,NA,NA,NA,NA,NA,0,0,1.55,0,95.04,0.01,0.76,1.44,1,0.323189580991426
sa19601.21-step0,sa19601.21,HydStab,0.0125,HotQUV,1440,1440,70,NA,20,NA,1.55,NA,NA,NA,NA,NA,NA,NA,0,0,1.55,0,95.06,0.01,0.76,1.46,0.8,0.30084967488814
sa19601.22-step0,sa19601.22,HydStab,0.0125,CyclicQUV,720,480,70,1.333333,20,5.333333,1.55,1.55,50,1,100,80,0,1.55,0,0,1.55,0,95.05,0.01,0.75,1.43,1,0.334659534043069
sa19601.23-step0,sa19601.23,HydStab,0.0125,CyclicQUV,720,480,70,1.333333,20,5.333333,1.55,1.55,50,1,100,80,0,1.55,0,0,1.55,0,95.02,0,0.77,1.46,1.1,0.30084967488814
sa19601.24-step0,sa19601.24,HydStab,0.0125,CyclicQUV,720,480,70,1.333333,20,5.333333,1.55,1.55,50,1,100,80,0,1.55,0,0,1.55,0,95.09,0,0.75,1.42,1,0.346329487094712
sa19601.25-step0,sa19601.25,HydStab,0.0125,CyclicQUV,720,480,70,1.333333,20,5.333333,1.55,1.55,50,1,100,80,0,1.55,0,0,1.55,0,95.05,0,0.77,1.45,1,0.311919627939783
sa19601.26-step0,sa19601.26,HydStab,0.0125,CyclicQUV,720,480,70,1.333333,20,5.333333,1.55,1.55,50,1,100,80,0,1.55,0,0,1.55,0,95.07,0,0.76,1.45,0.8,0.311919627939783
