Rowkey,Sample,Material,Thick,Exposure,Time,Step,Irrad,Pdose,L,a,b,YI,Haze,Gloss20,Gloss60,Gloss85,abs312,abs335,abs340,abs350,abs370,abs400,iad312,iad335,iad340,iad350,iad370,iad400,ftir723,ftir775,ftir793,ftir845,ftir871,ftir900,ftir975,ftir1017,ftir1040,ftir1096,ftir1125,ftir1125.ftir1096,ftir1175,ftir1245,ftir1340,ftir1370,ftir1340.ftir1370,transfrac,ftir1675,ftir1711,raman1728,raman1616,raman1418,raman1292,raman1189,raman1119,raman1097,raman1000,raman861,raman705,raman281,flu_ex340_em370,flu_ex340_em390,flu_ex340_em410,flu_ex340_em460,flu_ex400_em455,flu_ex340_em385,flu_ex340_em405,flu_ex340_em430,flu_ex340_em460_uv,flu_ex380_em405,flu_ex380_em430,flu_ex380_em460,flu_ex390_em450,flu_ex400_em450
sa19601.00-step0,sa19601.00,HydStab,0.0125,DampHeat,0,0,NA,NA,94.82,0,0.79,1.5,3.8,213.66667,182.33333,114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.349136,0.07650642,0.1296511,0.1890074,0.7233865,0.013028182,0.02418033,0.36735,0.04191458,1.3053736,0.7717608,0.59121833,0.01240845,1.9799103,0.22239941,0.009753109,22.80292469,0.775532534,0.2334241,1.9929687,14813.5,57134.84,406.5138,9250.5,131.0356,1020.4257,3533.438,1389.3785,15324.54,1165.3485,651.5052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sa19601.00-step0,sa19601.00,HydStab,0.0125,FreezeThaw,0,0,NA,NA,94.82,0,0.79,1.5,3.8,213.66667,182.33333,114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.349136,0.07650642,0.1296511,0.1890074,0.7233865,0.013028182,0.02418033,0.36735,0.04191458,1.3053736,0.7717608,0.59121833,0.01240845,1.9799103,0.22239941,0.009753109,22.80292469,0.775532534,0.2334241,1.9929687,14813.5,57134.84,406.5138,9250.5,131.0356,1020.4257,3533.438,1389.3785,15324.54,1165.3485,651.5052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sa19601.00-step0,sa19601.00,HydStab,0.0125,HotQUV,0,0,1.55,0,94.82,0,0.79,1.5,3.8,213.66667,182.33333,114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.349136,0.07650642,0.1296511,0.1890074,0.7233865,0.013028182,0.02418033,0.36735,0.04191458,1.3053736,0.7717608,0.59121833,0.01240845,1.9799103,0.22239941,0.009753109,22.80292469,0.775532534,0.2334241,1.9929687,14813.5,57134.84,406.5138,9250.5,131.0356,1020.4257,3533.438,1389.3785,15324.54,1165.3485,651.5052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sa19601.00-step0,sa19601.00,HydStab,0.0125,CyclicQUV,0,0,1.55,0,94.82,0,0.79,1.5,3.8,213.66667,182.33333,114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.349136,0.07650642,0.1296511,0.1890074,0.7233865,0.013028182,0.02418033,0.36735,0.04191458,1.3053736,0.7717608,0.59121833,0.01240845,1.9799103,0.22239941,0.009753109,22.80292469,0.775532534,0.2334241,1.9929687,14813.5,57134.84,406.5138,9250.5,131.0356,1020.4257,3533.438,1389.3785,15324.54,1165.3485,651.5052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sa19601.01-step0,sa19601.01,HydStab,0.0125,DampHeat,0,0,0,NA,95.1,0,0.75,1.42,0.8,NA,NA,NA,65.55212,4.617307,3.914265,3.102395,1.4553907,0.302273804,NA,NA,NA,NA,NA,NA,3.512721,0.07774266,0.13133242,0.1917303,0.7449002,0.013250051,0.02447503,0.3757103,0.04256307,1.3676292,0.8009505,0.585648873,0.01267448,2.0787337,0.22589504,0.009742147,23.18739801,0.778429791,0.2334391,2.0788657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sa19601.02-step0,sa19601.02,HydStab,0.0125,DampHeat,0,0,0,NA,95.1,0,0.73,1.39,1,NA,NA,NA,81.73193,5.440763,4.671654,3.758074,2.0220047,0.647733868,NA,NA,NA,NA,NA,NA,3.428056,0.07716922,0.13009005,0.1902996,0.732474,0.013161299,0.02447495,0.370936,0.04210141,1.3382357,0.7867231,0.587880819,0.01246666,2.0318258,0.22355293,0.009710676,23.02135608,0.777187784,0.2349002,2.0307071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sa19601.03-step0,sa19601.03,HydStab,0.0125,DampHeat,0,0,0,NA,95.12,0,0.73,1.38,1.4,NA,NA,NA,79.41012,5.501046,4.776692,3.738013,2.0238721,0.684926709,NA,NA,NA,NA,NA,NA,3.431656,0.08318195,0.13851405,0.1984937,0.7296471,0.013309737,0.02545106,0.3645056,0.04395023,1.2568368,0.7471227,0.594446869,0.01322965,1.8891419,0.22545103,0.010189213,22.12644195,0.77024652,0.2444953,1.8529445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sa19601.04-step0,sa19601.04,HydStab,0.0125,DampHeat,0,0,0,NA,95.09,0,0.74,1.4,0.9,NA,NA,NA,65.61489,4.595147,4.009884,3.088704,1.4725093,0.31175876,NA,NA,NA,NA,NA,NA,3.481956,0.08599019,0.14062759,0.2015329,0.7315705,0.013387699,0.02523403,0.3631658,0.04444639,1.2365361,0.7388197,0.597491412,0.01355777,1.860159,0.22561757,0.010389096,21.71676631,0.766922539,0.2465651,1.8067321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sa19601.05-step0,sa19601.05,HydStab,0.0125,DampHeat,0,0,0,NA,95.1,0.01,0.75,1.44,0.9,NA,NA,NA,65.33206,4.631772,4.013956,3.122447,1.50409,0.351974928,NA,NA,NA,NA,NA,NA,3.54848,0.08037181,0.13444886,0.195784,0.7434402,0.013345007,0.02490507,0.3686614,0.04263446,1.3165778,0.7778059,0.590778532,0.01255506,2.0023499,0.22390452,0.009884791,22.65141671,0.774369903,0.2407052,1.968156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sa19601.06-step0,sa19601.06,HydStab,0.0125,DampHeat,0,0,0,NA,95.08,0.01,0.74,1.42,1.2,NA,NA,NA,66.22381,4.706073,4.095413,3.214951,1.5451512,0.380308835,NA,NA,NA,NA,NA,NA,3.498619,0.08420303,0.13975617,0.1998531,0.7438726,0.013266028,0.02556733,0.3656628,0.04392053,1.269407,0.7552508,0.594963475,0.01331791,1.915024,0.22495282,0.010201331,22.05132056,0.769644126,0.2445886,1.8577864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sa19601.07-step0,sa19601.07,HydStab,0.0125,DampHeat,0,0,0,NA,95.07,0.01,0.76,1.44,1.3,NA,NA,NA,73.07581,5.145293,4.533423,3.527443,1.8459808,0.547676018,NA,NA,NA,NA,NA,NA,3.462019,0.08263366,0.13720325,0.1979383,0.739719,0.013159564,0.02501347,0.3652174,0.04326636,1.2711843,0.7543842,0.593449903,0.01295858,1.9163945,0.22480965,0.009970736,22.54694638,0.773561185,0.2437938,1.8700632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sa19601.08-step0,sa19601.08,HydStab,0.0125,FreezeThaw,0,0,0,NA,95.02,0.02,0.74,1.42,2.4,NA,NA,NA,66.43649,4.688022,4.029696,3.259361,1.602099,0.415144914,NA,NA,NA,NA,NA,NA,3.657194,0.08577372,0.14171262,0.2043437,0.7537714,0.01350074,0.02552956,0.3677249,0.04423333,1.2812544,0.7565727,0.590493738,0.01341031,1.9329215,0.22466538,0.01001758,22.42711114,0.772626357,0.253344,1.8628843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sa19601.09-step0,sa19601.09,HydStab,0.0125,FreezeThaw,0,0,0,NA,95.1,0,0.74,1.4,1.8,NA,NA,NA,66.49419,4.720319,4.081488,3.228639,1.6377955,0.429550077,NA,NA,NA,NA,NA,NA,3.429248,0.07306788,0.12336823,0.1828422,0.7311435,0.012664452,0.0236879,0.3728168,0.04056908,1.3966853,0.8141913,0.582945421,0.01151112,2.1623429,0.22299756,0.00941028,23.69722899,0.782158296,0.2268571,2.2221685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
